20.2.a.a:20.1:762.550:1:12896406231020588:1:0:[0,-2,-1,2,0,2,-6,-4,6,6,-4,2,6,-10,-6,-6,12,2,2,-12,2,8,6,-6,2,6,14,-6,2,-6,2,0,18,-4,-6,20,-22,-10,18,-6,-12,-10,-12,26,18,8,-16,-10,-6,14,-6,-24,14,0,-6,-18,18,20,26,6,14,-30,2,12,-22,-6,8,2,-30,-10,18,24,-22,26,-28,6,-6,2,-30,-34,36,26,36,2,8,6,6,26,30,14,-30,-24,26,0,-4,-18,6,-6,14,14,26,-30,-18,30,8,-22,-6,18,0,-10]
20.2.e.a:20.3:884.840:2:23566551308575088:0:0:[-2,0,-4,0,0,-2,6,0,0,0,0,-14,-16,0,0,18,0,24,0,0,-22,0,0,0,26,4,0,0,0,-2,0,0,-14,0,0,0,-34,0,0,-22,0,-36,0,38,26,0,0,0,0,0,-42,0,-16,0,-34,0,0,0,46,64,0,38,0,0,-2,6,0,-14,0,0,18,0,0,-22,0,0,0,26,4,0,0,-56,0,58,0,0,0,-34,-76,0,0,0,0,0,0,0,0,44,0,84,0,66,0,0,0,46,0,-62,0,-96]
40.2.a.a:40.1:774.100:1:716883178609633242:1:0:[0,0,1,-4,4,-2,2,4,4,-2,-8,6,-6,-8,4,6,-4,-2,8,0,-6,0,-16,-6,-14,6,4,0,14,18,-12,12,10,12,-10,-16,-2,16,12,14,20,-10,8,-14,22,8,-4,-4,-24,-26,-6,0,2,-12,-30,-12,14,24,-10,10,8,-26,-8,32,26,-18,-12,-14,-16,30,2,-24,20,22,-20,-36,6,-2,18,10,36,6,-40,2,-8,24,18,10,-18,12,8,16,-20,36,-28,-12,-2,10,-8,-2,8,14,16,-22,4,2,-48,18,-24,10]
40.2.c.a:40.9:1472.910:2:1743931158714281444:0:0:[0,0,-2,0,-8,0,0,8,0,-4,0,0,4,0,0,0,24,-20,0,16,0,-32,0,-12,0,12,0,0,12,0,0,-24,0,-8,-36,-16,0,0,0,0,8,44,0,0,0,16,8,0,0,12,0,32,-44,-40,0,0,12,-32,0,36,0,0,0,48,0,0,56,0,0,-4,0,16,0,0,-40,0,60,0,-28,-28,-24,-4,32,0,48,0,-12,0,-36,0,0,-64,0,-8,8,0,-68,20,0,-4,0,0,0,36,-40,0,0,0,-80,36]
50.2.a.a:50.1:1607.120:1:1291586430715429255:1:0:[-1,1,0,2,-3,-4,-3,5,6,0,2,2,-3,-4,12,6,0,2,-13,12,11,-10,-9,15,2,-18,-4,-3,-10,-9,2,12,-3,5,0,2,2,11,12,-24,-15,2,-18,-19,-18,20,-13,-4,12,20,6,0,17,27,-18,6,0,2,32,-18,11,6,17,-18,26,12,17,-13,-3,-10,6,30,-28,26,-25,6,30,-28,-3,5,-15,-28,-18,-19,-40,-9,-15,17,12,-4,12,30,2,12,20,36,-30,-3,41,32,17,12,-24,-15,-28,-13,-33,-9,30,-13]
50.2.a.b:50.1:1413.000:1:977379866071001924:1:0:[1,-1,0,-2,-3,4,3,5,-6,0,2,-2,-3,4,-12,-6,0,2,13,12,-11,-10,9,15,-2,-18,4,3,-10,9,-2,12,3,5,0,2,-2,-11,-12,24,-15,2,-18,19,18,20,-13,4,-12,20,-6,0,17,27,18,-6,0,2,-32,-18,-11,-6,-17,-18,-26,-12,17,13,3,-10,-6,30,28,-26,-25,-6,30,28,-3,5,-15,-28,-18,19,-40,9,-15,-17,12,4,-12,30,-2,12,20,-36,-30,-3,-41,32,-17,-12,24,-15,-28,13,33,9,30,-13]
50.2.b.a:50.49:1557.810:2:1862762171202277245:0:0:[0,0,0,0,-6,0,0,-10,0,0,4,0,-6,0,0,0,0,4,0,24,0,20,0,-30,0,-36,0,0,20,0,0,24,0,-10,0,4,0,0,0,0,30,4,-36,0,0,-40,-26,0,0,-40,0,0,34,54,0,0,0,4,0,-36,0,0,0,-36,0,0,34,0,0,20,0,-60,0,0,50,0,-60,0,-6,-10,30,-56,-36,0,80,0,30,0,24,0,0,-60,0,24,-40,0,60,-6,0,64,0,0,0,30,-56,0,0,0,-60,-26]
80.2.a.a:80.1:1342.660:1:1816714693887773720:1:0:[0,0,1,4,-4,-2,2,-4,-4,-2,8,6,-6,8,-4,6,4,-2,-8,0,-6,0,16,-6,-14,6,-4,0,14,18,12,-12,10,-12,-10,16,-2,-16,-12,14,-20,-10,-8,-14,22,-8,4,4,24,-26,-6,0,2,12,-30,12,14,-24,-10,10,-8,-26,8,-32,26,-18,12,-14,16,30,2,24,-20,22,20,36,6,-2,18,10,-36,6,40,2,8,-24,18,10,-18,-12,-8,-16,20,-36,28,12,-2,10,8,-2,-8,14,-16,-22,-4,2,48,18,24,10]
80.2.a.b:80.1:1430.080:1:203926327671425217:1:0:[0,2,-1,-2,0,2,-6,4,-6,6,4,2,6,10,6,-6,-12,2,-2,12,2,-8,-6,-6,2,6,-14,6,2,-6,-2,0,18,4,-6,-20,-22,10,-18,-6,12,-10,12,26,18,-8,16,10,6,14,-6,24,14,0,-6,18,18,-20,26,6,-14,-30,-2,-12,-22,-6,-8,2,30,-10,18,-24,22,26,28,-6,-6,2,-30,-34,-36,26,-36,2,-8,-6,6,26,30,-14,30,24,-26,0,4,18,6,-6,-14,14,-26,-30,18,30,-8,-22,6,18,0,-10]
80.2.c.a:80.49:1461.770:2:526223723855081265:0:0:[0,0,-2,0,8,0,0,-8,0,-4,0,0,4,0,0,0,-24,-20,0,-16,0,32,0,-12,0,12,0,0,12,0,0,24,0,8,-36,16,0,0,0,0,-8,44,0,0,0,-16,-8,0,0,12,0,-32,-44,40,0,0,12,32,0,36,0,0,0,-48,0,0,-56,0,0,-4,0,-16,0,0,40,0,60,0,-28,-28,24,-4,-32,0,-48,0,-12,0,-36,0,0,64,0,8,-8,0,-68,20,0,-4,0,0,0,36,40,0,0,0,80,36]
80.2.n.a:80.47:1884.400:2:1623551776849429706:0:0:[0,0,4,0,0,-10,-10,0,0,0,0,10,16,0,0,10,0,-24,0,0,10,0,0,0,10,4,0,0,0,30,0,0,-30,0,0,0,-10,0,0,-30,0,-36,0,-10,-30,0,0,0,0,0,-10,0,16,0,30,0,0,0,-10,-64,0,30,0,0,-50,-50,0,50,0,0,50,0,0,50,0,0,0,50,4,0,0,56,0,10,0,0,0,-50,-76,0,0,0,0,0,0,0,0,44,0,84,0,10,0,0,0,-50,0,-30,0,96]
80.2.n.b:80.47:1657.470:4:1509110455723194882:0:0:[0,0,-4,0,0,4,4,0,0,0,0,20,8,0,0,-28,0,24,0,0,-28,0,0,0,-28,-40,0,0,0,36,0,0,36,0,0,0,-44,0,0,-60,0,24,0,4,-12,0,0,0,0,0,4,0,-88,0,36,0,0,0,52,-56,0,36,0,0,-28,-76,0,4,0,0,4,0,0,4,0,0,0,-44,8,0,0,-8,0,-28,0,0,0,68,-8,0,0,0,0,0,0,0,0,-152,0,-72,0,116,0,0,0,-28,0,132,0,72]
100.2.a.a:100.1:829.070:1:1261421830691399758:1:0:[0,2,0,-2,0,-2,6,-4,-6,6,-4,-2,6,10,6,6,12,2,-2,-12,-2,8,-6,-6,-2,6,-14,6,2,6,-2,0,-18,-4,-6,20,22,10,-18,6,-12,-10,-12,-26,-18,8,-16,10,6,14,6,-24,14,0,6,18,18,20,-26,6,-14,30,-2,12,22,6,8,-2,30,-10,-18,24,22,-26,-28,-6,-6,-2,-30,-34,36,26,36,-2,8,-6,6,-26,30,-14,30,-24,-26,0,-4,18,6,-6,-14,14,-26,30,18,30,8,22,6,-18,0,-10]
100.2.c.a:100.49:1609.070:2:1794389871250132809:0:0:[0,0,0,0,0,0,0,8,0,-12,-8,0,12,0,0,0,-24,4,0,-24,0,-16,0,12,0,12,0,0,-4,0,0,0,0,8,12,40,0,0,0,0,24,-20,-24,0,0,-16,-32,0,0,-28,0,48,28,0,0,0,-36,40,0,12,0,0,0,24,0,0,16,0,0,20,0,-48,0,0,56,0,12,0,-60,68,-72,52,72,0,-16,0,-12,0,60,0,0,48,0,0,8,0,-12,-12,0,28,0,0,0,-60,16,0,0,0,0,-20]
100.2.e.a:100.7:1909.940:2:2277056610589161092:0:0:[-2,-2,0,6,0,0,0,0,-2,0,0,0,24,18,-14,0,0,-16,6,0,0,0,-22,0,0,-36,18,26,0,0,6,0,0,0,0,0,0,18,-34,0,0,4,0,0,0,0,0,-42,-14,0,0,0,-56,0,0,-22,0,0,0,24,-42,0,6,0,0,0,0,0,-34,0,0,0,-54,0,0,38,0,0,-36,0,0,-16,0,0,0,58,0,0,84,18,46,0,-54,0,0,-62,0,84,-42,-76,66,0,-2,0,0,0,-14,0,0,-56]
100.2.e.b:100.7:1826.010:2:1524747062526240176:0:0:[2,0,0,0,0,2,-6,0,0,0,0,14,-16,0,0,-18,0,24,0,0,22,0,0,0,-26,4,0,0,0,2,0,0,14,0,0,0,34,0,0,22,0,-36,0,-38,-26,0,0,0,0,0,42,0,-16,0,34,0,0,0,-46,64,0,-38,0,0,2,-6,0,14,0,0,-18,0,0,22,0,0,0,-26,4,0,0,-56,0,-58,0,0,0,34,-76,0,0,0,0,0,0,0,0,44,0,84,0,-66,0,0,0,-46,0,62,0,-96]
100.2.e.c:100.7:1949.070:2:1883519652544638337:0:0:[2,2,0,-6,0,0,0,0,2,0,0,0,24,-18,14,0,0,-16,-6,0,0,0,22,0,0,-36,-18,-26,0,0,-6,0,0,0,0,0,0,-18,34,0,0,4,0,0,0,0,0,42,14,0,0,0,-56,0,0,22,0,0,0,24,42,0,-6,0,0,0,0,0,34,0,0,0,54,0,0,-38,0,0,-36,0,0,-16,0,0,0,-58,0,0,84,-18,-46,0,54,0,0,62,0,84,42,-76,-66,0,2,0,0,0,14,0,0,-56]
100.2.e.d:100.7:1972.170:8:2242134098990557697:0:0:[0,0,0,0,0,0,0,0,0,0,0,0,-24,0,0,0,0,-64,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,-144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-264,0,0,-64,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,-24,0,-64,0,0,0,0,0,0,0,0,0,136]
200.2.a.a:200.1:1498.850:1:2025218458634038437:1:0:[0,-3,0,2,1,4,5,1,-2,-8,10,-6,-3,4,4,6,8,10,-1,-12,3,6,-13,-9,-14,6,4,-15,14,-9,-6,-12,13,9,8,2,-14,7,-12,8,-19,2,-10,-11,-2,-28,-1,-4,-12,4,6,24,-7,15,30,30,-16,-6,8,-2,-1,-2,13,14,-22,12,-27,19,17,-18,-10,-18,20,10,-5,6,30,4,21,-11,-3,-12,-34,5,16,-21,-39,1,12,-36,-28,22,-38,36,-4,36,34,-35,-35,-32,-19,-28,-32,17,-20,-13,3,39,30,43]
200.2.a.b:200.1:1638.260:1:1286917328543055298:-1:1:[0,-2,0,-2,-4,-4,0,-4,2,2,0,-4,2,6,6,4,-12,-10,-14,8,-8,16,-2,6,-16,6,-14,10,-6,-16,6,-12,-8,4,18,-8,4,-2,-18,12,-4,22,0,16,12,-8,4,-6,2,-6,24,-16,-22,-20,0,-30,-6,-16,12,18,6,-28,2,24,-8,-12,28,16,-22,2,0,-8,-10,20,20,-6,-30,36,-14,14,12,-2,16,0,-24,6,6,24,-18,26,18,32,-2,-4,-4,34,34,10,-10,-2,34,-12,-18,-18,-20,-32,-38,16,40,18]
200.2.a.c:200.1:1651.500:1:2149663643107043362:1:0:[0,0,0,4,4,2,-2,4,-4,-2,-8,-6,-6,8,-4,-6,-4,-2,-8,0,6,0,16,-6,14,6,-4,0,14,-18,12,12,-10,12,-10,-16,2,-16,-12,-14,20,-10,8,14,-22,8,-4,4,24,-26,6,0,2,-12,30,12,14,24,10,10,-8,26,8,32,-26,18,-12,14,16,30,-2,-24,-20,-22,-20,36,6,2,18,10,36,6,-40,-2,-8,-24,18,-10,-18,-12,-8,16,20,36,-28,12,-2,10,8,-2,-8,-14,-16,-22,4,-2,48,-18,-24,10]
200.2.a.d:200.1:1381.540:1:601301812031893406:1:0:[0,2,0,2,-4,4,0,-4,-2,2,0,4,2,-6,-6,-4,-12,-10,14,8,8,16,2,6,16,6,14,-10,-6,16,-6,-12,8,4,18,-8,-4,2,18,-12,-4,22,0,-16,-12,-8,4,6,-2,-6,-24,-16,-22,-20,0,30,-6,-16,-12,18,-6,28,-2,24,8,12,28,-16,22,2,0,-8,10,-20,20,6,-30,-36,-14,14,12,-2,16,0,-24,-6,6,-24,-18,-26,-18,32,2,-4,-4,-34,34,10,10,-2,-34,12,18,-18,-20,32,38,-16,40,18]
