18.2.c.a:18.7:425.520:2:1709198346480436726:0:0:[-1,-3,0,-2,3,-2,-6,-2,6,-6,4,-8,-9,1,6,24,-3,-8,-5,-24,22,4,-12,12,-5,0,-14,6,-32,-6,4,0,3,19,6,10,4,-8,12,6,24,28,18,-5,-24,-20,-20,-26,-21,-14,6,-6,7,42,21,-18,-48,40]
27.2.a.a:27.1:379.430:1:903291523394155081:1:0:[0,0,0,-1,0,5,0,-7,0,0,-4,11,0,8,0,0,0,-1,5,0,-7,17,0,0,-19,0,-13,0,2,0,20,0,0,23,0,-19,14,-25,0,0,0,-7,0,23,0,11,-13,-28,0,-22,0,0,17,0,0,0,0,29]
36.2.a.a:36.1:784.250:1:1143229866697692889:1:0:[0,0,0,-4,0,2,0,8,0,0,-4,-10,0,8,0,0,0,14,-16,0,-10,-4,0,0,14,0,20,0,2,0,20,0,0,-16,0,-4,14,8,0,0,0,26,0,2,0,-28,-16,-28,0,-22,0,0,14,0,0,0,0,-28]
36.2.e.a:36.13:444.710:2:1485418068864728500:0:0:[0,0,-3,1,-3,1,12,-8,3,-3,-5,4,-3,1,9,-12,3,13,7,-24,-20,-11,9,12,-11,-15,7,24,4,9,-32,-21,-3,-5,-15,13,13,40,-9,9,24,4,-15,-11,12,-8,-17,1,-27,13,-12,27,1,24,9,21,-12,16]
54.2.a.a:54.1:385.520:1:1215354540506513513:1:0:[-1,0,3,-1,-3,-4,0,2,-6,6,5,2,-6,-10,6,9,12,8,14,0,-7,8,-3,-18,-1,-3,-4,9,2,-6,-7,-15,6,-4,3,17,-4,20,-6,15,-9,-16,-12,5,9,-7,-22,8,-12,14,18,30,-10,0,12,-30,-18,-25]
54.2.a.b:54.1:9.700:1:689246320802081722:1:0:[1,0,-3,-1,3,-4,0,2,6,-6,5,2,6,-10,-6,-9,-12,8,14,0,-7,8,3,18,-1,3,-4,-9,2,6,-7,15,-6,-4,-3,17,-4,20,6,-15,9,-16,12,5,-9,-7,-22,8,12,14,-18,-30,-10,0,-12,30,18,-25]
54.2.c.a:54.19:466.750:2:183148456992658277:0:0:[1,0,0,-2,-3,-2,6,-2,-6,6,4,-8,9,1,-6,-24,3,-8,-5,24,22,4,12,-12,-5,0,-14,-6,-32,6,4,0,-3,19,-6,10,4,-8,-12,-6,-24,28,-18,-5,24,-20,-20,-26,21,-14,-6,6,7,-42,-21,18,48,40]
81.2.a.a:81.1:381.970:2:1843164376072571325:1:0:[0,0,0,4,0,-2,0,4,0,0,16,-14,0,4,0,0,0,-14,-20,0,-14,4,0,0,4,0,16,0,22,0,4,0,0,16,0,40,34,-32,0,0,0,4,0,-2,0,40,-20,4,0,-2,0,0,58,0,0,0,0,4]
81.2.c.a:81.28:469.190:2:1416178038704793008:0:0:[0,0,0,1,0,-5,0,-14,0,0,4,22,0,-8,0,0,0,1,-5,0,-14,-17,0,0,19,0,13,0,4,0,40,0,0,-23,0,19,-14,-50,0,0,0,-14,0,-23,0,22,13,28,0,22,0,0,-17,0,0,0,0,58]
81.2.c.b:81.28:11.940:4:422958714910004693:0:0:[0,0,0,-4,0,2,0,8,0,0,-16,-28,0,-4,0,0,0,14,20,0,-28,-4,0,0,-4,0,-16,0,44,0,8,0,0,-16,0,-40,-34,-64,0,0,0,8,0,2,0,80,20,-4,0,2,0,0,-58,0,0,0,0,8]
108.2.a.a:108.1:393.580:1:1492895464694528898:1:0:[0,0,0,5,0,-7,0,-1,0,0,-4,-1,0,8,0,0,0,-13,11,0,17,-13,0,0,5,0,-7,0,2,0,20,0,0,-7,0,23,14,17,0,0,0,-19,0,-25,0,17,29,-28,0,-22,0,0,-31,0,0,0,0,-1]
108.2.e.a:108.37:496.600:2:1302282293363710949:0:0:[0,0,3,1,3,1,-12,-8,-3,3,-5,4,3,1,-9,12,-3,13,7,24,-20,-11,-9,-12,-11,15,7,-24,4,-9,-32,21,3,-5,15,13,13,40,9,-9,-24,4,15,-11,-12,-8,-17,1,27,13,12,-27,1,-24,-9,-21,12,16]
162.2.a.a:162.1:401.920:1:497496804025843963:-1:1:[-1,0,-3,-4,0,-1,-3,-4,0,9,-4,-1,6,8,-12,-6,0,-1,-4,-12,11,-16,-12,-3,2,-6,-4,12,11,-15,-16,-12,9,20,9,8,-13,8,12,-3,12,-10,12,-13,-3,-4,8,8,-12,23,21,12,-13,-24,-15,12,21,-16]
162.2.a.b:162.1:9.830:1:253532594654622027:1:0:[-1,0,0,2,3,2,3,-1,6,-6,-4,-4,-9,-1,6,-12,-3,8,5,12,11,-4,-12,-6,5,0,14,-3,-16,-6,2,0,3,-19,6,-10,-4,-4,12,6,-12,14,18,5,12,-10,20,26,-21,14,-3,-6,-7,-21,21,-18,24,20]
162.2.a.c:162.1:9.810:1:18950087430636185:1:0:[1,0,0,2,-3,2,-3,-1,-6,6,-4,-4,9,-1,-6,12,3,8,5,-12,11,-4,12,6,5,0,14,3,-16,6,2,0,-3,-19,-6,-10,-4,-4,-12,-6,12,14,-18,5,-12,-10,20,26,21,14,3,6,-7,21,-21,18,-24,20]
162.2.a.d:162.1:9.680:1:1795737022127482060:1:0:[1,0,3,-4,0,-1,3,-4,0,-9,-4,-1,-6,8,12,6,0,-1,-4,12,11,-16,12,3,2,6,-4,-12,11,15,-16,12,-9,20,-9,8,-13,8,-12,3,-12,-10,-12,-13,3,-4,8,8,12,23,-21,-12,-13,24,15,-12,-21,-16]
162.2.c.a:162.55:488.320:2:130616938264716835:0:0:[-1,0,-3,4,0,1,6,-8,0,9,4,-2,6,-8,-12,12,0,1,4,24,22,16,-12,6,-2,-6,4,-24,22,-15,-32,-12,9,-20,9,-8,13,16,12,-3,-24,-20,12,13,6,-8,-8,-8,-12,-23,-42,12,13,48,-15,12,-42,-32]
162.2.c.b:162.55:12.010:2:1831845802494803379:0:0:[-1,0,3,1,-3,4,0,4,-6,6,-5,4,-6,10,6,-18,12,-8,-14,0,-14,-8,-3,36,1,-3,4,-18,4,-6,-14,-15,6,4,3,-17,4,40,-6,15,18,-32,-12,-5,-18,-14,22,-8,-12,-14,-36,30,10,0,12,-30,36,-50]
162.2.c.c:162.55:11.790:2:555525002004594373:0:0:[1,0,-3,1,3,4,0,4,6,-6,-5,4,6,10,-6,18,-12,-8,-14,0,-14,-8,3,-36,1,3,4,18,4,6,-14,15,-6,4,-3,-17,4,40,6,-15,-18,-32,12,-5,18,-14,22,-8,12,-14,36,-30,10,0,-12,30,-36,-50]
162.2.c.d:162.55:11.790:2:14387151734701852:0:0:[1,0,3,4,0,1,-6,-8,0,-9,4,-2,-6,-8,12,-12,0,1,4,-24,22,16,12,-6,-2,6,4,24,22,15,-32,12,-9,-20,-9,-8,13,16,-12,3,24,-20,-12,13,-6,-8,-8,-8,12,-23,42,-12,13,-48,15,-12,42,-32]
324.2.a.a:324.1:420.710:1:655688850949663158:-1:1:[0,0,-3,-1,-3,-1,-6,-4,3,-3,5,2,-3,-1,9,6,3,-13,-7,12,-10,11,9,-6,11,-15,-7,-12,2,9,-16,-21,-3,5,-15,-13,-13,20,-9,9,-12,2,-15,11,-6,-4,17,-1,-27,-13,6,27,-1,-12,9,21,6,8]
324.2.a.b:324.1:470.740:1:182422906880194949:1:0:[0,0,-3,2,6,5,3,2,-6,-3,-4,5,6,-10,0,6,12,5,2,-6,-1,-10,0,3,-10,-6,-16,-12,-7,-9,2,6,15,8,-15,-4,5,-4,-18,9,-12,14,-6,-25,-15,20,14,-10,-18,5,15,0,11,-30,27,-24,-3,-10]
324.2.a.c:324.1:9.290:1:1043071847732366836:1:0:[0,0,3,-1,3,-1,6,-4,-3,3,5,2,3,-1,-9,-6,-3,-13,-7,-12,-10,11,-9,6,11,15,-7,12,2,-9,-16,21,3,5,15,-13,-13,20,9,-9,12,2,15,11,6,-4,17,-1,27,-13,-6,-27,-1,12,-9,-21,-6,8]
324.2.a.d:324.1:9.320:1:1122932859684607077:1:0:[0,0,3,2,-6,5,-3,2,6,3,-4,5,-6,-10,0,-6,-12,5,2,6,-1,-10,0,-3,-10,6,-16,12,-7,9,2,-6,-15,8,15,-4,5,-4,18,-9,12,14,6,-25,15,20,14,-10,18,5,-15,0,11,30,-27,24,3,-10]
324.2.e.a:324.109:564.240:2:1241724083784685665:0:0:[0,0,-3,-2,6,-5,-6,4,-6,-3,4,10,6,10,0,-12,12,-5,-2,12,-2,10,0,-6,10,-6,16,24,-14,-9,4,6,15,-8,-15,4,-5,-8,-18,9,24,28,-6,25,30,40,-14,10,-18,-5,-30,0,-11,60,27,-24,6,-20]
324.2.e.b:324.109:11.380:2:1200995460048924098:0:0:[0,0,0,-5,0,7,0,-2,0,0,4,-2,0,-8,0,0,0,13,-11,0,34,13,0,0,-5,0,7,0,4,0,40,0,0,7,0,-23,-14,34,0,0,0,-38,0,25,0,34,-29,28,0,22,0,0,31,0,0,0,0,-2]
324.2.e.c:324.109:618.600:2:1386576211278407041:0:0:[0,0,0,4,0,-2,0,16,0,0,4,-20,0,-8,0,0,0,-14,16,0,-20,4,0,0,-14,0,-20,0,4,0,40,0,0,16,0,4,-14,16,0,0,0,52,0,-2,0,-56,16,28,0,22,0,0,-14,0,0,0,0,-56]
324.2.e.d:324.109:11.650:2:35567599461891402:0:0:[0,0,3,-2,-6,-5,6,4,6,3,4,10,-6,10,0,12,-12,-5,-2,-12,-2,10,0,6,10,6,16,-24,-14,9,4,-6,-15,-8,15,4,-5,-8,18,-9,-24,28,6,25,-30,40,-14,10,18,-5,30,0,-11,-60,-27,24,-6,-20]
