15.2.a.a:15.1:757.490:1:750292609497685491:1:0:[-1,-1,1,0,-4,-2,2,4,0,-2,0,-10,10,4,8,-10,-4,-2,12,-8,10,0,12,-6,2,6,-16,-12,14,2,-8,-12,-6,-4,22,-8,14,-4,0,-18,20,-10,16,2,6,-8,20,8,-20,6,-6,-16,-14,12,18,16,14,16,6,-6,-12,6,28,-24,26,-2,12]
45.2.a.a:45.1:1380.150:1:804981580358494444:1:0:[1,0,-1,0,4,-2,-2,4,0,2,0,-10,-10,4,-8,10,4,-2,12,8,10,0,-12,6,2,-6,-16,12,14,-2,-8,12,6,-4,-22,-8,14,-4,0,18,-20,-10,-16,2,-6,-8,20,8,20,6,6,16,-14,-12,-18,-16,-14,16,6,6,-12,-6,28,24,26,2,12]
45.2.b.a:45.19:1401.340:2:660159269427890240:0:0:[0,0,0,0,0,0,0,-8,0,0,16,0,0,0,0,0,0,4,0,0,0,-32,0,0,0,0,0,0,28,0,0,0,0,-8,0,16,0,0,0,0,0,-44,0,0,0,-32,-56,0,0,52,0,0,4,0,0,0,0,64,0,0,0,0,0,0,0,0,-56]
45.2.f.a:45.8:1771.840:4:1858747460774581571:0:0:[0,0,0,-8,0,4,0,0,0,0,-16,4,0,-32,0,0,0,32,16,0,4,0,0,0,-44,0,40,0,0,0,40,0,0,0,0,32,-20,-32,0,0,0,-64,0,4,0,0,-16,40,0,0,0,0,-40,0,0,0,0,-64,-44,0,-32,0,-32,0,76,0,32]
75.2.a.a:75.1:1348.470:1:2059292129865388632:1:0:[-2,1,0,3,2,-1,-2,-5,-6,10,-3,-2,-8,-1,-2,4,-10,7,3,-8,14,0,-6,0,-17,12,4,-12,5,4,8,12,18,20,10,7,13,-11,-12,-6,-10,17,22,-11,18,-5,-13,19,8,-15,24,20,-23,12,-12,-16,-10,-8,3,-18,9,-6,-7,-18,-11,8,12]
75.2.a.b:75.1:1534.770:1:1988189362737059693:1:0:[1,1,0,0,-4,2,-2,4,0,-2,0,10,10,-4,-8,10,-4,-2,-12,-8,-10,0,-12,-6,-2,6,16,12,14,-2,8,-12,6,-4,22,-8,-14,4,0,18,20,-10,16,-2,-6,-8,20,-8,20,6,6,-16,-14,12,-18,-16,14,16,-6,-6,12,-6,-28,-24,-26,2,12]
75.2.a.c:75.1:1401.210:1:270043000761900717:1:0:[2,-1,0,-3,2,1,2,-5,6,10,-3,2,-8,1,2,-4,-10,7,-3,-8,-14,0,6,0,17,12,-4,12,5,-4,-8,12,-18,20,10,7,-13,11,12,6,-10,17,22,11,-18,-5,-13,-19,-8,-15,-24,20,-23,12,12,16,-10,-8,-3,-18,-9,6,7,-18,11,-8,12]
75.2.b.a:75.49:1547.680:2:518360175285623156:0:0:[0,0,0,0,4,0,0,10,0,-20,-6,0,-16,0,0,0,20,14,0,-16,0,0,0,0,0,24,0,0,-10,0,0,24,0,-40,-20,14,0,0,0,0,20,34,44,0,0,10,-26,0,0,30,0,-40,-46,24,0,0,20,-16,0,-36,0,0,0,-36,0,0,24]
75.2.b.b:75.49:1440.200:2:2480619652721553:0:0:[0,0,0,0,-8,0,0,-8,0,4,0,0,20,0,0,0,8,-4,0,-16,0,0,0,12,0,12,0,0,-28,0,0,-24,0,8,-44,-16,0,0,0,0,-40,-20,32,0,0,16,40,0,0,-12,0,32,-28,24,0,0,-28,32,0,-12,0,0,0,-48,0,0,24]
75.2.e.a:75.32:1675.120:4:1258679122441283878:0:0:[0,0,0,0,0,0,0,0,0,0,-32,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,0,0,0,0,0,88,0,0,0,0,-112,0,0,0,0,0,8,0,0,0,0,128,0,0,0,0,0,0,0,0,-112]
75.2.e.b:75.32:1708.130:4:1733809472364470449:0:0:[0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,28,0,0,0,0,-52,0,0,0,0,0,68,0,0,0,0,-112,0,0,0,0,0,0,0,0,128]
225.2.a.a:225.1:1646.170:1:425313928103574347:-1:1:[-2,0,0,-3,-2,1,-2,-5,-6,-10,-3,2,8,1,-2,4,10,7,-3,8,-14,0,-6,0,17,-12,-4,-12,5,4,-8,-12,18,20,-10,7,-13,11,-12,-6,10,17,-22,11,18,-5,-13,-19,8,-15,24,-20,-23,-12,-12,-16,10,-8,-3,18,-9,-6,7,18,11,8,12]
225.2.a.b:225.1:1704.170:1:285895329455399408:1:0:[-1,0,0,0,4,2,2,4,0,2,0,10,-10,-4,8,-10,4,-2,-12,8,-10,0,12,6,-2,-6,16,-12,14,2,8,12,-6,-4,-22,-8,-14,4,0,-18,-20,-10,-16,-2,6,-8,20,-8,-20,6,-6,16,-14,-12,18,16,-14,16,-6,6,12,6,-28,24,-26,-2,12]
225.2.a.c:225.1:1513.730:1:2140124914231022951:-1:1:[0,0,0,-5,0,-5,0,-1,0,0,-7,10,0,-5,0,0,0,-13,-5,0,10,-4,0,0,-5,0,-20,0,-19,0,-20,0,0,-16,0,23,25,25,0,0,0,-7,0,25,0,11,-13,-5,0,29,0,0,17,0,0,0,0,-28,-5,0,25,0,-35,0,-35,0,32]
225.2.a.d:225.1:1596.880:1:49423681071508381:1:0:[0,0,0,5,0,5,0,-1,0,0,-7,-10,0,5,0,0,0,-13,5,0,-10,-4,0,0,5,0,20,0,-19,0,20,0,0,-16,0,23,-25,-25,0,0,0,-7,0,-25,0,11,-13,5,0,29,0,0,17,0,0,0,0,-28,5,0,-25,0,35,0,35,0,32]
225.2.a.e:225.1:1462.610:1:1813732781413488101:1:0:[2,0,0,3,-2,-1,2,-5,6,-10,-3,-2,8,-1,2,-4,10,7,3,8,14,0,6,0,-17,-12,4,12,5,-4,8,-12,-18,20,-10,7,13,-11,12,6,10,17,-22,-11,-18,-5,-13,19,-8,-15,-24,-20,-23,-12,12,16,10,-8,3,18,9,6,-7,18,-11,-8,12]
225.2.a.f:225.1:1656.500:2:269276172886446067:1:0:[0,0,0,0,0,0,0,8,0,0,16,0,0,0,0,0,0,4,0,0,0,32,0,0,0,0,0,0,-28,0,0,0,0,8,0,16,0,0,0,0,0,-44,0,0,0,32,-56,0,0,-52,0,0,4,0,0,0,0,64,0,0,0,0,0,0,0,0,-56]
