18.2.c.a:18.7:425.520:2:1709198346480436726:0:0:[-1,-3,0,-2,3,-2,-6,-2,6,-6,4,-8,-9,1,6,24,-3,-8,-5,-24,22,4,-12,12,-5,0,-14,6,-32,-6,4,0,3,19,6,10,4,-8,12,6,24,28,18,-5,-24,-20,-20,-26,-21,-14,6,-6,7,42,21,-18,-48,40,10,-6,4,-30,-14,18,-29,18,4,1,-33,16,21,-36,28,34,46,0,-18,40,27,-17,12,-20,-60,-14,-8,-3,18,-17,30,-20,-30,42,52,15,13,0,0,-6,40,-8,1,-60,39,-45,37,22,9,12,-12,37,28,-32,-27,-35,-80,3,-23,36,6,36,4,22,-36,-18,-8,60,4,-72,-26,-14,94,-6,-8,4,-42,-2,36,4,12,66,-14,18,16,-24,-20,-12,-26,42,-35,48,-8,-84,-38,0,31,-48,76,6,28,60,-3,18,22,-72,51,0,-32,28,4,0,3,40,-36,-11,-38,-30,1,108,-56,-8,-38,9,22,54,-54,0,-32,-56,-29,120,-2,15,118,-36,66,-3,-47,4,9,12,30,58,-56,-35,42,-132,-128,27,-27,-17,-134,-30,-62,-36,-24,55,-68,-21,132,-48,34,40,27,76,-51,22,6,24,34,-24,-26,-104,22,9,16,-42,70,-36,57,-84,45,40,4,76,33,48,-56,-45,-68,-108,22,54,-12,-26,42,-78,-32,28,0,-86,-32,15,4,28,18,55,-24,-75,-41,30,28,136,-35,-50,-23,40,-36,10,-50,27,18,58,30,-26,49,-36,52,-48,28,126,24,78,69,-51,64,-66,-50,-54,-72,-68,7,-36,-32,36,-8,4,-60,40,6,160,48,-144,-66,16,-24,22,-33,-12,37,-6,-35,-29,168,4,-18,82,-50,-71,60,60,-80,-12,16,-21,94,168,4,-63,-23,40,-32,-6,12,-20,18,-66,-104,-17,72,-156,28,178,78,28,76,-84,84,120,6,-6,22,-15,-144,-45,106,25,72,52,-38,-60,-170,-36,36,-38,-92,-87,-108,-20]
24.2.a.a:24.1:770.120:1:906478665263567321:1:0:[0,-1,-2,0,4,-2,2,-4,-8,6,8,6,-6,4,0,-2,4,-2,-4,8,10,-8,-4,-6,2,-18,16,-12,-2,18,-8,-4,-6,-12,14,-16,-2,12,24,6,12,6,0,2,-18,16,-20,-8,12,22,10,-16,18,20,2,-8,-10,8,-26,26,-28,-18,12,-24,-6,6,20,18,-12,30,2,-24,-8,-10,20,0,-2,14,-30,-6,12,-10,32,-14,0,20,-14,-22,-26,8,-36,-16,-32,-12,12,24,6,26,4,-18,44,-26,28,10,36,2,-44,-14,24,-38,-40,38,42,-44,16,-14,12,8,6,12,-10,34,-2,4,-4,6,-10,-32,48,14,-4,-8,24,38,-22,2,-18,28,22,26,4,30,-16,-28,-50,-24,-10,42,-12,-32,-18,50,-4,8,4,16,16,50,42,6,12,-54,-16,36,-30,-24,40,-26,-46,-50,36,30,-40,10,-40,26,-28,30,16,14,8,-52,54,-54,48,-18,-50,-36,10,0,-62,-12,-20,22,-36,-22,-14,46,2,24,38,8,38,34,-60,6,56,12,-22,4,18,-18,-32,-28,8,-22,-40,-62,-24,54,-10,0,18,8,60,-10,-6,48,48,52,-66,28,-40,10,-60,-64,50,-50,20,40,-36,-28,64,46,18,-40,-56,60,52,-16,78,-30,8,10,54,12,38,4,78,58,-8,60,22,-66,-14,-4,38,26,-76,62,-50,-52,-38,40,-14,-64,-12,62,10,76,-80,16,-8,-58,-28,16,50,-18,-16,2,-26,12,-38,-12,-18,-74,-40,-66,-12,44,74,-58,-40,-20,84,2,36,-34,56,-58,48,30,-46,-20,-8,-22,-84,48,2,-78,-20,-38,-58,-56,58,18,12,84,-32,30,-2,-42,24,-36,-12,84,-2,66,-22,72,22,-54,78,-48,-26,-20,-42,52,0,-34,-84,-22,22,-24,-10,26,64,-76,34,-24,38,42,48,20,-68,42,-42,-32,-38,-52,36,80,-2,16,-82,60,-96,34]
27.2.a.a:27.1:379.430:1:903291523394155081:1:0:[0,0,0,-1,0,5,0,-7,0,0,-4,11,0,8,0,0,0,-1,5,0,-7,17,0,0,-19,0,-13,0,2,0,20,0,0,23,0,-19,14,-25,0,0,0,-7,0,23,0,11,-13,-28,0,-22,0,0,17,0,0,0,0,29,26,0,32,0,-16,0,35,0,-1,5,0,-37,0,0,35,-13,29,0,0,-34,0,-31,0,-19,0,2,-28,0,0,-10,0,23,0,0,-25,0,32,0,0,0,-43,29,-1,0,0,0,-31,11,0,0,0,26,-49,47,0,17,-43,0,-40,0,0,0,-49,-37,0,0,8,0,53,0,44,50,-16,0,41,29,0,-49,0,-31,0,0,56,0,5,0,-7,0,35,0,-13,0,59,0,47,0,-19,0,-52,0,-61,0,0,0,41,0,0,0,-61,-10,-43,0,0,14,0,53,59,0,-64,0,65,62,-55,0,-22,0,0,0,65,35,-67,0,-7,0,11,0,0,0,59,17,0,0,0,-19,41,53,0,0,-43,0,0,-67,-25,0,-55,0,0,71,-4,0,0,0,-31,68,0,20,0,71,0,0,35,0,-67,56,-76,0,-37,0,77,0,0,0,0,-7,77,11,0,0,-79,0,32,0,50,0,0,-19,0,0,-79,80,0,-70,-73,0,-67,47,0,-64,0,0,-40,0,-49,-61,-10,-31,14,83,0,-82,74,0,0,68,0,-37,-85,0,65,0,-73,0,0,0,0,0,62,0,-1,0,0,89,-13,0,-52,0,59,-34,0,77,0,83,0,0,0,23,0,38,0,0,-82,0,-91,-85,0,92,0,29,-88,8,0,0,53,0,-91,0,-16,0,83,0,86,20,-37,0,0,89,0,0,74,-64,0,0,41,-79,0,-28,59,0,0,0,0,0,-1,0,0,0,11,-73,0,47,-97,0,83,0,0,-49,101,0,0,-25]
36.2.a.a:36.1:784.250:1:1143229866697692889:1:0:[0,0,0,-4,0,2,0,8,0,0,-4,-10,0,8,0,0,0,14,-16,0,-10,-4,0,0,14,0,20,0,2,0,20,0,0,-16,0,-4,14,8,0,0,0,26,0,2,0,-28,-16,-28,0,-22,0,0,14,0,0,0,0,-28,26,0,32,0,-16,0,-22,0,32,-34,0,14,0,0,-4,38,8,0,0,-34,0,38,0,-22,0,2,-28,0,0,-10,0,20,0,0,44,0,32,0,0,0,8,-46,-40,0,0,0,-16,-46,0,0,0,26,20,-10,0,32,44,0,-40,0,0,0,38,50,0,0,8,0,-22,0,44,50,-16,0,-52,26,0,2,0,56,0,0,56,0,-52,0,-46,0,-58,0,56,0,-34,0,8,0,-40,0,-52,0,26,0,0,0,20,0,0,0,44,-10,62,0,0,14,0,-58,-52,0,-64,0,-28,62,-4,0,-22,0,0,0,-46,32,38,0,62,0,-64,0,0,0,2,50,0,0,0,68,-70,14,0,0,-28,0,0,56,-46,0,68,0,0,-22,-4,0,0,0,74,68,0,20,0,-58,0,0,-76,0,2,56,-76,0,-40,0,-34,0,0,0,0,-64,-52,62,0,0,44,0,32,0,50,0,0,-58,0,0,26,80,0,-70,68,0,74,-82,0,-64,0,0,-40,0,-34,80,-10,-52,14,-28,0,-82,74,0,0,68,0,86,56,0,-82,0,-4,0,0,0,0,0,62,0,-76,0,0,-40,-70,0,-52,0,-88,-34,0,2,0,-10,0,0,0,-88,0,38,0,0,-82,0,32,74,0,92,0,62,-88,8,0,0,-94,0,68,0,-16,0,-82,0,86,20,-58,0,0,-76,0,0,74,-64,0,0,56,-10,0,-28,38,0,0,0,0,0,86,0,0,0,80,-22,0,-100,26,0,8,0,0,-52,-46,0,0,98]
36.2.b.a:36.35:1331.650:2:1737895449765428356:0:0:[0,0,0,0,0,-8,0,0,0,0,0,4,0,0,0,0,0,-20,0,0,-32,0,0,0,16,0,0,0,40,0,0,0,0,0,0,0,-44,0,0,0,0,40,0,28,0,0,0,0,0,-8,0,0,16,0,0,0,0,0,-56,0,0,0,0,0,52,0,0,64,0,-20,0,0,0,28,0,0,0,76,0,-80,0,-56,0,-68,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,4,0,0,0,-20,0,-68,0,0,0,0,0,0,0,0,100,-92,0,0,0,0,88,0,0,-8,0,0,0,-104,0,100,0,0,0,0,0,0,0,0,40,0,-92,0,0,0,-116,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,124,112,0,0,-44,0,-128,0,0,0,0,0,52,0,0,-8,0,0,0,-104,0,-80,0,-32,0,0,0,0,0,100,88,0,0,0,0,136,-128,0,0,0,0,0,0,4,0,0,0,0,-20,0,0,0,0,136,0,0,0,0,-92,0,0,0,0,-152,0,0,0,0,0,-80,0,0,0,0,0,0,-140,0,0,0,0,0,0,136,0,0,160,0,0,40,0,0,76,0,0,-152,148,0,0,0,0,0,0,-116,0,-128,0,64,0,0,-20,-140,0,0,0,0,124,0,0,112,0,0,0,0,0,0,0,52,0,0,0,0,0,172,0,0,0,0,-176,0,-8,0,-68,0,0,0,0,0,-32,0,0,-128,0,0,-116,0,0,0,-176,0,0,0,0,-56,0,0,0,0,0,148,0,64,0,-92,0,0,0,0,0,184,0,0,0,0,-176,0,0,100,0,0,0,0,0,196,0,0,0,0,52,0,0,-140,0,0,0,0,0,184,0,0,-68]
36.2.e.a:36.13:444.710:2:1485418068864728500:0:0:[0,0,-3,1,-3,1,12,-8,3,-3,-5,4,-3,1,9,-12,3,13,7,-24,-20,-11,9,12,-11,-15,7,24,4,9,-32,-21,-3,-5,-15,13,13,40,-9,9,24,4,-15,-11,12,-8,-17,1,-27,13,-12,27,1,24,9,21,-12,16,1,-3,-5,21,40,-21,1,21,-11,-23,-9,1,-3,0,13,1,-32,15,-15,4,-3,-23,-9,-35,48,-68,-35,9,-36,37,-3,19,24,-27,64,3,-5,-72,-39,84,16,-68,13,-60,-9,-15,31,-20,-15,12,39,-35,-41,52,-3,13,-32,33,-41,0,21,21,-11,-11,-15,-72,1,-12,25,0,37,-23,-32,-9,31,-20,-27,1,36,43,9,12,40,-51,19,-24,100,9,13,-27,-41,48,-23,60,-8,-21,-47,45,-32,-27,-68,21,-27,108,43,0,57,-51,16,1,-20,-39,33,-23,-21,37,55,-15,1,-108,-80,1,1,-15,13,-36,-57,21,124,1,1,-96,28,45,40,-15,120,-15,37,-47,57,48,45,25,37,-23,-120,84,-80,51,-15,-5,76,57,-23,21,-9,-23,-5,45,96,-15,-71,31,-3,112,27,-47,-63,-48,-35,-3,13,40,-5,-39,-35,33,-35,36,-45,-48,-15,-56,-65,-92,-51,33,64,15,31,144,49,-36,3,49,9,48,52,37,108,-68,-11,9,-11,-140,69,-35,84,9,31,-63,-23,-104,1,-65,-59,16,-21,-35,76,21,15,31,-3,-23,43,-72,28,21,49,36,45,-48,-87,-9,73,-51,-11,21,-72,-47,1,-108,-32,51,-5,-68,-75,-11,39,100,33,36,81,-17,-96,-68,-3,75,-71,-27,-59,73,132,-176,21,4,112,-35,-63,132,-23,-51,73,-63,40,24,-164,-75,85,40,61,-39,-27,1,-51,-48,4,73,93,-84,31,28,-15,-35,25,-12,-45,120,-15,-75,61,33,72,-51,136,37,21,136,-116,-75,-104,15,-51,-17,-44,-9,72,-116]
36.2.h.a:36.11:441.880:8:743109739627977142:0:0:[-3,0,-6,0,0,-2,0,0,0,6,0,-8,24,0,0,0,0,-2,0,0,4,0,0,0,4,66,0,0,16,30,0,0,-84,0,-78,0,10,0,0,42,0,-32,0,-8,0,0,0,0,0,-26,0,0,-20,0,12,0,0,0,-14,-102,0,-150,0,0,28,-30,0,40,0,34,12,0,0,22,0,0,138,-104,-60,-32,0,-38,0,-92,0,0,0,-68,-78,0,0,0,0,0,0,0,114,0,0,112,0,0,0,-84,0,-44,0,0,0,28,0,-104,12,0,0,168,0,0,42,0,-74,-62,102,0,0,0,-38,0,0,10,0,0,0,112,-6,94,0,0,246,0,0,-138,0,0,-248,0,-98,42,0,0,-98,0,0,0,0,0,0,186,136,174,0,0,0,0,-264,0,0,154,-56,42,0,106,0,40,0,-66,0,0,0,-74,0,0,-122,0,0,-174,88,0,-20,0,268,0,0,-282,0,24,100,58,204,0,138,0,10,-8,0,0,0,0,-96,0,-308,282,0,0,0,-200,0,240,0,66,94,0,-96,0,0,166,-114,0,0,0,142,0,0,-60,0,0,-14,0,0,0,0,0,0,112,-84,0,0,0,0,0,-14,0,0,94,78,0,208,0,0,148,0,0,34,-392,-102,0,0,96,0,-402,-194,0,-188,0,-128,0,0,-62,52,0,0,0,0,178,0,0,-200,186,0,0,-42,0,300,0,-50,30,0,-66,0,0,-44,0,0,0,0,328,0,-50,0,136,0,0,6,0,0,76,0,0,16,42,0,-188,0,0,-150,-212,0,0,0,0,70,-6,0,0,0,0,376,192,100,0,274,-114,-222,0,258,0,16,0,0,0,0,-188,-186,0,-182,0,0,0,366,0,-182,-192,0,0,0,172,102,0,4,0,0,0,-30,0,-680,0,0,-392]
48.2.a.a:48.1:800.320:1:1588924079463638771:1:0:[0,1,-2,0,-4,-2,2,4,8,6,-8,6,-6,-4,0,-2,-4,-2,4,-8,10,8,4,-6,2,-18,-16,12,-2,18,8,4,-6,12,14,16,-2,-12,-24,6,-12,6,0,2,-18,-16,20,8,-12,22,10,16,18,-20,2,8,-10,-8,-26,26,28,-18,-12,24,-6,6,-20,18,12,30,2,24,8,-10,-20,0,-2,14,-30,-6,-12,-10,-32,-14,0,-20,-14,-22,-26,-8,36,16,32,12,-12,-24,6,26,-4,-18,-44,-26,-28,10,-36,2,44,-14,-24,-38,40,38,42,44,-16,-14,-12,-8,6,-12,-10,34,-2,-4,4,6,-10,32,-48,14,4,8,-24,38,-22,2,-18,-28,22,26,-4,30,16,28,-50,24,-10,42,12,32,-18,50,4,-8,-4,-16,-16,50,42,6,-12,-54,16,-36,-30,24,-40,-26,-46,-50,-36,30,40,10,40,26,28,30,-16,14,-8,52,54,-54,-48,-18,-50,36,10,0,-62,12,20,22,36,-22,-14,46,2,-24,38,-8,38,34,60,6,-56,-12,-22,-4,18,-18,32,28,-8,-22,40,-62,24,54,-10,0,18,-8,-60,-10,-6,-48,-48,-52,-66,-28,40,10,60,64,50,-50,-20,-40,36,28,-64,46,18,40,56,-60,-52,16,78,-30,-8,10,54,-12,38,-4,78,58,8,-60,22,-66,-14,4,38,26,76,62,-50,52,-38,-40,-14,64,12,62,10,-76,80,-16,8,-58,28,-16,50,-18,16,2,-26,-12,-38,12,-18,-74,40,-66,12,-44,74,-58,40,20,-84,2,-36,-34,-56,-58,-48,30,-46,20,8,-22,84,-48,2,-78,20,-38,-58,56,58,18,-12,-84,32,30,-2,-42,-24,36,12,-84,-2,66,-22,-72,22,-54,78,48,-26,20,-42,-52,0,-34,84,-22,22,24,-10,26,-64,76,34,24,38,42,-48,-20,68,42,-42,32,-38,52,-36,-80,-2,-16,-82,-60,96,34]
48.2.c.a:48.47:1585.370:2:1687343896078013792:0:0:[0,0,0,0,0,-4,0,0,0,0,0,-20,0,0,0,0,0,28,0,0,20,0,0,0,-28,0,0,0,-4,0,0,0,0,0,0,0,28,0,0,0,0,-52,0,4,0,0,0,0,0,44,0,0,-28,0,0,0,0,0,-52,0,0,0,0,0,-44,0,0,68,0,28,0,0,0,76,0,0,0,-68,0,-76,0,44,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,-92,0,0,0,52,0,-20,0,0,0,0,0,0,0,0,76,100,0,0,0,0,44,0,0,-100,0,0,0,-52,0,4,0,0,0,0,0,0,0,0,92,0,-116,0,0,0,-68,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,-20,-124,0,0,28,0,116,0,0,0,0,0,124,0,0,44,0,0,0,92,0,-76,0,-124,0,0,0,0,0,4,-100,0,0,0,0,140,-28,0,0,0,0,0,0,-92,0,0,0,0,-44,0,0,0,0,-148,0,0,0,0,-116,0,0,0,0,-4,0,0,0,0,0,68,0,0,0,0,0,0,124,0,0,0,0,0,0,-100,0,0,116,0,0,-52,0,0,-140,0,0,-148,-164,0,0,0,0,0,0,-68,0,20,0,-28,0,0,-164,148,0,0,0,0,172,0,0,164,0,0,0,0,0,0,0,124,0,0,0,0,0,-140,0,0,0,0,68,0,-4,0,-20,0,0,0,0,0,-76,0,0,164,0,0,148,0,0,0,-124,0,0,0,0,188,0,0,0,0,0,-164,0,-172,0,-116,0,0,0,0,0,-148,0,0,0,0,20,0,0,76,0,0,0,0,0,172,0,0,0,0,-44,0,0,52,0,0,0,0,0,92,0,0,196]
54.2.a.a:54.1:385.520:1:1215354540506513513:1:0:[-1,0,3,-1,-3,-4,0,2,-6,6,5,2,-6,-10,6,9,12,8,14,0,-7,8,-3,-18,-1,-3,-4,9,2,-6,-7,-15,6,-4,3,17,-4,20,-6,15,-9,-16,-12,5,9,-7,-22,8,-12,14,18,30,-10,0,12,-30,-18,-25,8,24,14,-6,-16,-6,-19,-3,-10,-22,3,-10,6,18,17,32,20,-24,-21,20,12,23,12,8,18,29,-19,-12,-18,-1,-21,-13,-27,6,-16,39,14,-18,-15,36,-16,20,8,27,3,-12,-4,38,-3,18,-42,35,32,-34,-42,-28,-25,42,-4,0,39,-21,14,-19,42,-36,44,9,44,36,-1,-22,-16,12,41,2,48,-31,-18,32,39,18,2,6,-31,0,2,24,-10,-48,-40,-36,-22,-36,2,12,26,6,29,-12,11,-33,51,-36,23,-27,-42,6,47,-28,11,-6,15,-58,30,26,-31,-6,26,-9,47,-64,-55,33,14,36,12,15,38,8,59,-54,2,-57,2,-57,-36,12,23,62,-12,36,39,-55,32,-19,-9,-18,20,21,-30,-40,-7,-42,35,-21,-24,-55,32,42,18,-6,14,-4,-24,20,57,8,24,-54,8,-12,14,56,-40,12,-10,60,14,18,39,36,60,-34,-49,-16,-24,-12,-43,57,14,36,-76,72,30,17,-75,-63,-52,8,9,65,-1,-21,-58,-16,12,-28,-18,6,-4,-6,32,-16,53,59,-31,-79,-51,8,47,-12,-60,77,-30,26,-22,18,-61,3,-64,0,42,45,-60,-69,-10,66,17,-39,-63,26,-22,27,-25,-51,-22,47,60,86,-24,-16,-84,9,-30,68,-72,-70,-39,12,-46,30,-28,-67,-27,11,24,47,74,-64,-48,63,-46,-6,17,24,-16,9,2,-78,41,-61,-46,-48,93,8,33,-36,74,-82,42,54,-40,11,66,89,14,18,30,63,-78,42,-64,24,36,15,74,62,78,29,-7,69,20,30,33,-31,-52,-96,54,11]
